Player,Shot,Type,Stroke,Spin,Speed (MPH),2,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,New Points
Lenn Luemkemann,1,first_serve,Serve,Slice,107.686989,#REF!,0,0,short,deuce,far,-3.001017,16.91976,deep,deuce,near,0.674316,-0.040872,2.5,out wide,In,false,18:48:52,15.79,1
Opponent,2,first_return,Forehand,Topspin,55.644188,2,0,0,out,deuce,near,1.286497,-1.032038,deep,deuce_alley,far,-4.761719,24.927538,0.929688,down the line,Out,false,18:48:52,16.459999,1
Lenn Luemkemann,1,first_serve,Serve,Kick,116.896965,3,0,0,deep,ad,far,2.782053,18.774906,deep,ad,near,-1.073242,0.310691,2.4375,out wide,Out,false,18:49:14,37.869999,2
Opponent,2,first_return,Backhand,Topspin,35.699936,3,0,0,deep,deuce,near,0.602164,0.740584,deep,ad,far,3.283203,24.333788,2.427734,down the line,In,false,18:49:14,38.509998,2
Lenn Luemkemann,3,serve_plus_one,Forehand,Topspin,68.718346,3,0,0,deep,deuce,far,-2.896658,19.776358,out,ad,near,-0.226685,-2.118997,1.763672,inside in,In,false,18:49:17,40.77,2
Opponent,4,return_plus_one,Forehand,Topspin,52.606815,3,0,0,deep,deuce,near,1.753036,4.258423,out,deuce,far,-3.509766,25.833788,0.933594,cross court,In,false,18:49:18,42.09,2
Lenn Luemkemann,5,in_play,Forehand,Topspin,80.252769,3,0,0,deep,ad,far,2.43205,18.833246,out,deuce,near,2.220703,-0.603372,1.314453,down the line,In,false,18:49:19,43.450001,2
Opponent,6,in_play,Backhand,Slice,36.679058,3,0,0,short,ad,far,0.384033,17.654593,out,ad,far,1.702148,25.740038,0.947266,cross court,Net,false,18:49:20,44.509998,2
Lenn Luemkemann,1,first_serve,Serve,Slice,112.36084,4,0,0,short,deuce,far,-3.309864,16.804529,deep,deuce,near,0.296875,0.740378,2.382812,out wide,In,false,18:49:46,70.290001,3
Opponent,2,first_return,Forehand,Slice,74.363869,4,0,0,short,deuce,far,-2.175781,16.634321,out,deuce_out,far,-5.757812,25.552538,0.988281,down the line,Net,false,18:49:47,71.089996,3
Lenn Luemkemann,1,first_serve,Serve,Slice,43.179272,5,0,0,short,ad,near,-0.564941,6.622313,deep,ad,near,-1.366211,0.099753,2.408203,down the T,Net,false,18:50:10,94.480003,4
Lenn Luemkemann,1,second_serve,Serve,Kick,64.554298,6,0,0,short,ad,far,3.374317,16.812796,deep,ad,near,-1.194336,0.506003,2.458984,out wide,In,false,18:50:25,109.349998,5
Opponent,2,second_return,Backhand,Topspin,48.805607,6,0,0,short,ad,near,-1.392814,6.567495,deep,ad_alley,far,4.441406,24.146288,1.049805,down the line,In,false,18:50:26,110.349998,5
Lenn Luemkemann,3,serve_plus_one,Backhand,Slice,44.19656,6,0,0,deep,ad,far,1.949211,20.475006,deep,ad,near,-3.078125,0.724753,0.619141,cross court,In,false,18:50:28,111.949997,5
Opponent,4,return_plus_one,Forehand,Flat,45.294758,6,0,0,short,deuce,far,-0.941406,12.203125,deep,ad,far,2.039062,24.490038,1.060547,inside in,Net,false,18:50:29,113.550003,5
Opponent,1,first_serve,Serve,Slice,96.770515,7,0,0,short,deuce,far,-3.81608,17.059177,deep,deuce,near,-0.198853,0.464587,2.291016,out wide,In,false,18:51:32,176.389999,6
